subject,predicate,object,category
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bertel_Thorvaldsen,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bessie_Harvey,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bessie_Potter_Vonnoh,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Beulah_Woodard,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Beverly_Pepper,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bharti_Kher,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bill_Barrett_(artist),sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bill_Woodrow,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Billie_Lawless,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Blanche_Nevin,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Bogdan_Rață,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/Brenda_Putnam,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/David_Eugene_Henry,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/David_Nash_(artist),sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/David_Ruben_Piqtoukun,sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/David_Smith_(sculptor),sculptor
http://dbpedia.org/resource/Aisa_Amittu,http://dbpedia.org/ontology/wikiPageWikiLink,http://dbpedia.org/resource/David_d'Angers,sculptor
