Subject,Predicate,Object
John_Vincent_Atanasoff,wikiPageWikiLink,Decimal_separator
Andrew_Barto,wikiPageWikiLink,President_of_the_United_States
Friedrich_L._Bauer,wikiPageWikiLink,Scott_Shenker
Samson_Abramsky,wikiPageWikiLink,Luca_Cardelli
Hal_Abelson,wikiPageWikiLink,Chemical_engineering
Daniel_J._Bernstein,wikiPageWikiLink,Category:Free_software_programmed_in_C
Wäinö_Aaltonen,wikiPageWikiLink,Kain_Tapper
Kurt_Bollacker,wikiPageWikiLink,Roland_Carl_Backhouse
Zhou_Chaochen,wikiPageWikiLink,Carroll_Morgan_(computer_scientist)
Andrew_Barto,wikiPageWikiLink,Morihiko_Nakahara
John_Armleder,wikiPageWikiLink,Robert_Morris_(artist)
Ruth_Asawa,wikiPageWikiLink,Mills_College
Mari_Andriessen,wikiPageWikiLink,Richmond_Barthé
Barry_Boehm,wikiPageWikiLink,QuickCheck
Gilles_Brassard,wikiPageWikiLink,Von_Neumann_entropy
Cecilia_R._Aragon,wikiPageWikiLink,BlueJ
Johannes_Josephus_Aarts,wikiPageWikiLink,Meerssen
Jonathan_Bowen,wikiPageWikiLink,Visiting_Gresham_Professor
Gerrit_Blaauw,wikiPageWikiLink,Calculator
Isa_Paddy_Aqiattusuk,wikiPageWikiLink,Hulleah_Tsinhnahjinnie
Grimanesa_Amorós,wikiPageWikiLink,Sarah_Fisher_Ames
Leonard_Adleman,wikiPageWikiLink,Princeton_University
Walter_S._Arnold,wikiPageWikiLink,Roxanne_Swentzell
Robert_S._Boyer,wikiPageWikiLink,Stephen_Muggleton
Hazel_Armour,wikiPageWikiLink,Frank_Auerbach
Lawrence_M._Breed,wikiPageWikiLink,Category:Stanford_University_School_of_Humanities_and_Sciences_alumni
Mikhail_Botvinnik,wikiPageWikiLink,Bobby_Fischer
Charles_Babbage,wikiPageWikiLink,Braxton_Bragg
David_P._Anderson,name,Sammy_Brown
Martin_Campbell-Kelly,wikiPageWikiLink,Brian_Randell
